"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"ZtLrK0",1,1,2001,16,"Burundi","BDI","BDI",75,"Guinea-Bissau","GNB","GNB","0",11,"0","0","0","0","0","-","0"
1,"ZtLrK0",1,2,2002,16,"Burundi","BDI","BDI",75,"Guinea-Bissau","GNB","GNB","0",11,"0","0","0","0","0","-","0"
1,"ZtLrK0",1,3,2003,16,"Burundi","BDI","BDI",75,"Guinea-Bissau","GNB","GNB","0",11,"0","0","0","0","0","-","0"
1,"ZtLrK0",1,4,2004,16,"Burundi","BDI","BDI",75,"Guinea-Bissau","GNB","GNB","0",11,"0","0","0","0","0","-","0"
1,"ZtLrK0",1,5,2005,16,"Burundi","BDI","BDI",75,"Guinea-Bissau","GNB","GNB",5,8,"0","0","0","0","0","-","0"
1,"ZtLrK0",1,6,2006,16,"Burundi","BDI","BDI",75,"Guinea-Bissau","GNB","GNB",5,8,"0","0","0","0","0","-","0"
1,"ZtLrK0",1,7,2007,16,"Burundi","BDI","BDI",75,"Guinea-Bissau","GNB","GNB",5,8,"0","0","0","0","0","-","0"
1,"ZtLrK0",1,8,2008,16,"Burundi","BDI","BDI",75,"Guinea-Bissau","GNB","GNB",5,7,"0","0","0","0","0","-","0"
1,"ZtLrK0",1,9,2009,16,"Burundi","BDI","BDI",75,"Guinea-Bissau","GNB","GNB",5,6,"0","0","0","0","0","-","0"
1,"ZtLrK0",1,10,2010,16,"Burundi","BDI","BDI",75,"Guinea-Bissau","GNB","GNB",5,6,"0","0","0","0","0","-","0"
1,"ZtLrK0",1,11,2011,16,"Burundi","BDI","BDI",75,"Guinea-Bissau","GNB","GNB",9,"0","0","0","0","0","0","-","0"
1,"ZtLrK0",1,12,2012,16,"Burundi","BDI","BDI",75,"Guinea-Bissau","GNB","GNB",9,"0","0","0","0","0","0","-","0"
1,"ZtLrK0",1,13,2013,16,"Burundi","BDI","BDI",75,"Guinea-Bissau","GNB","GNB",13,"0","0","0","0","0","0","-","0"
1,"ZtLrK0",1,14,2014,16,"Burundi","BDI","BDI",75,"Guinea-Bissau","GNB","GNB",13,"0","0","0","0","0","0","-","0"
1,"ZtLrK0",1,15,2015,16,"Burundi","BDI","BDI",75,"Guinea-Bissau","GNB","GNB",13,"0","0","0","0","0","0","-","0"
1,"ZtLrK0",1,16,2016,16,"Burundi","BDI","BDI",75,"Guinea-Bissau","GNB","GNB",11,"0","0","0","0","0","0","-","0"
1,"ZtLrK0",1,17,2017,16,"Burundi","BDI","BDI",75,"Guinea-Bissau","GNB","GNB",11,"0","0","0","0","0","0","-","0"
1,"ZtLrK0",1,18,2018,16,"Burundi","BDI","BDI",75,"Guinea-Bissau","GNB","GNB",11,"0","0","0","0","0","0","-","0"
1,"ZtLrK0",1,19,2019,16,"Burundi","BDI","BDI",75,"Guinea-Bissau","GNB","GNB",5,"0","0","0","0","0","0","-","0"
1,"ZtLrK0",1,20,2020,16,"Burundi","BDI","BDI",75,"Guinea-Bissau","GNB","GNB",5,"0","0","0","0","0","0","-","0"
1,"ZtLrK0",1,21,2021,16,"Burundi","BDI","BDI",75,"Guinea-Bissau","GNB","GNB",5,"0","0","0","0","0","0","-","0"
1,"ZtLrK0",1,22,2013,34,"Central African Rep.","CAR","CAF",75,"Guinea-Bissau","GNB","GNB","0",5,"0","0","0","0","0","-","0"
1,"ZtLrK0",1,23,2014,34,"Central African Rep.","CAR","CAF",75,"Guinea-Bissau","GNB","GNB","0",7,"0","0","0","0","0","-","0"
1,"ZtLrK0",1,24,2015,34,"Central African Rep.","CAR","CAF",75,"Guinea-Bissau","GNB","GNB","0",7,"0","0","0","0","0","-","0"
1,"ZtLrK0",1,25,2005,40,"Congo","COB","COG",75,"Guinea-Bissau","GNB","GNB",5,"0","0","0","0","0","0","-","0"
1,"ZtLrK0",1,26,2006,40,"Congo","COB","COG",75,"Guinea-Bissau","GNB","GNB",6,"0","0","0","0","0","0","-","0"
1,"ZtLrK0",1,27,2007,40,"Congo","COB","COG",75,"Guinea-Bissau","GNB","GNB",6,"0","0","0","0","0","0","-","0"
1,"ZtLrK0",1,28,2008,40,"Congo","COB","COG",75,"Guinea-Bissau","GNB","GNB",6,5,"0","0","0","0","0","-","0"
1,"ZtLrK0",1,29,2009,40,"Congo","COB","COG",75,"Guinea-Bissau","GNB","GNB",9,"0","0","0","0","0","0","-","0"
1,"ZtLrK0",1,30,2010,40,"Congo","COB","COG",75,"Guinea-Bissau","GNB","GNB",21,"0","0","0","0","0","0","-","0"
1,"ZtLrK0",1,31,2013,40,"Congo","COB","COG",75,"Guinea-Bissau","GNB","GNB",5,"0","0","0","0","0","0","-","0"
1,"ZtLrK0",1,32,2014,40,"Congo","COB","COG",75,"Guinea-Bissau","GNB","GNB",5,"0","0","0","0","0","0","-","0"
1,"ZtLrK0",1,33,2015,40,"Congo","COB","COG",75,"Guinea-Bissau","GNB","GNB",5,"0","0","0","0","0","0","-","0"
1,"ZtLrK0",1,34,2016,40,"Congo","COB","COG",75,"Guinea-Bissau","GNB","GNB",5,"0","0","0","0","0","0","-","0"
1,"ZtLrK0",1,35,2017,40,"Congo","COB","COG",75,"Guinea-Bissau","GNB","GNB",5,"0","0","0","0","0","0","-","0"
1,"ZtLrK0",1,36,2018,40,"Congo","COB","COG",75,"Guinea-Bissau","GNB","GNB",5,"0","0","0","0","0","0","-","0"
1,"ZtLrK0",1,37,1981,41,"Dem. Rep. of the Congo","COD","COD",75,"Guinea-Bissau","GNB","GNB",110,"0","0","0","0","0","0","-","0"
1,"ZtLrK0",1,38,2006,41,"Dem. Rep. of the Congo","COD","COD",75,"Guinea-Bissau","GNB","GNB","0",5,"0","0","0","0","0","-","0"
1,"ZtLrK0",1,39,2007,41,"Dem. Rep. of the Congo","COD","COD",75,"Guinea-Bissau","GNB","GNB",5,5,"0","0","0","0","0","-","0"
1,"ZtLrK0",1,40,2008,41,"Dem. Rep. of the Congo","COD","COD",75,"Guinea-Bissau","GNB","GNB",5,5,"0","0","0","0","0","-","0"
1,"ZtLrK0",1,41,2009,41,"Dem. Rep. of the Congo","COD","COD",75,"Guinea-Bissau","GNB","GNB",5,5,"0","0","0","0","0","-","0"
1,"ZtLrK0",1,42,2010,41,"Dem. Rep. of the Congo","COD","COD",75,"Guinea-Bissau","GNB","GNB",33,5,"0","0","0","0","0","-","0"
