"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"V08l1H",1,1,2023,41,"Dem. Rep. of the Congo","COD","COD",81,"Haiti","HAI","HTI","0","0","0","0","0","0",5,"-","0"
1,"V08l1H",1,2,2024,41,"Dem. Rep. of the Congo","COD","COD",81,"Haiti","HAI","HTI","0","0","0","0","0","0",5,"-","0"
1,"V08l1H",1,3,2025,41,"Dem. Rep. of the Congo","COD","COD",81,"Haiti","HAI","HTI","0","0","0","0","0","0",5,"-","0"
1,"V08l1H",1,4,2009,46,"Cuba","CUB","CUB",81,"Haiti","HAI","HTI","0",6,"0","0","0","0","0","-","0"
1,"V08l1H",1,5,2010,46,"Cuba","CUB","CUB",81,"Haiti","HAI","HTI","0",5,"0","0","0","0","0","-","0"
1,"V08l1H",1,6,2011,46,"Cuba","CUB","CUB",81,"Haiti","HAI","HTI","0",6,"0","0","0","0","0","-","0"
1,"V08l1H",1,7,2012,46,"Cuba","CUB","CUB",81,"Haiti","HAI","HTI","0",11,"0","0","0","0","0","-","0"
1,"V08l1H",1,8,2013,46,"Cuba","CUB","CUB",81,"Haiti","HAI","HTI","0",8,"0","0","0","0","0","-","0"
1,"V08l1H",1,9,2015,46,"Cuba","CUB","CUB",81,"Haiti","HAI","HTI","0",5,"0","0","0","0","0","-","0"
1,"V08l1H",1,10,2024,46,"Cuba","CUB","CUB",81,"Haiti","HAI","HTI",5,"0","0","0","0","0","0","-","0"
1,"V08l1H",1,11,2015,58,"Ethiopia","ETH","ETH",81,"Haiti","HAI","HTI","0",5,"0","0","0","0","0","-","0"
1,"V08l1H",1,12,2016,58,"Ethiopia","ETH","ETH",81,"Haiti","HAI","HTI",5,"0","0","0","0","0","0","-","0"
1,"V08l1H",1,13,2017,58,"Ethiopia","ETH","ETH",81,"Haiti","HAI","HTI",5,"0","0","0","0","0","0","-","0"
1,"V08l1H",1,14,2023,81,"Haiti","HAI","HTI",81,"Haiti","HAI","HTI","0","0","0",313901,"0","0","0","-","0"
1,"V08l1H",1,15,2024,81,"Haiti","HAI","HTI",81,"Haiti","HAI","HTI","0","0","0",1037463,"0","0","0","-","0"
1,"V08l1H",1,16,2025,81,"Haiti","HAI","HTI",81,"Haiti","HAI","HTI","0","0","0",1280841,"0","0","0","-","0"
1,"V08l1H",1,17,2009,112,"Sri Lanka","LKA","LKA",81,"Haiti","HAI","HTI","0",6,"0","0","0","0","0","-","0"
1,"V08l1H",1,18,2000,124,"Mexico","MEX","MEX",81,"Haiti","HAI","HTI","0","0",5,"0","0","0","0","-","0"
1,"V08l1H",1,19,2019,141,"Nigeria","NIG","NGA",81,"Haiti","HAI","HTI","0",5,"0","0","0","0","0","-","0"
1,"V08l1H",1,20,2020,141,"Nigeria","NIG","NGA",81,"Haiti","HAI","HTI","0",5,"0","0","0","0","0","-","0"
1,"V08l1H",1,21,2018,211,"Yemen","YEM","YEM",81,"Haiti","HAI","HTI",5,"0","0","0","0","0","0","-","0"
1,"V08l1H",1,22,2015,216,"Stateless","STA","XXA",81,"Haiti","HAI","HTI","0","0","0","0","0",977,"0","-","0"
1,"V08l1H",1,23,2016,216,"Stateless","STA","XXA",81,"Haiti","HAI","HTI","0","0","0","0","0",2302,"0","-","0"
1,"V08l1H",1,24,2017,216,"Stateless","STA","XXA",81,"Haiti","HAI","HTI","0","0","0","0","0",2302,"0","-","0"
1,"V08l1H",1,25,2018,216,"Stateless","STA","XXA",81,"Haiti","HAI","HTI","0","0","0","0","0",2992,"0","-","0"
