"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"BqI0g4",1,1,1979,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",400000,"0","0","-","0","0","0"
1,"BqI0g4",1,2,1980,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",1428230,"0","0","-","0","0","0"
1,"BqI0g4",1,3,1981,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",2375330,"0","0","-","0","0","0"
1,"BqI0g4",1,4,1982,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",2877480,"0","0","-","0","0","0"
1,"BqI0g4",1,5,1983,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",2900000,"0","0","-","0","0","0"
1,"BqI0g4",1,6,1984,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",2500000,"0","0","-","0","0","0"
1,"BqI0g4",1,7,1985,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",2729910,"0","0","-","0","0","0"
1,"BqI0g4",1,8,1986,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",2878100,"0","0","-","0","0","0"
1,"BqI0g4",1,9,1987,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",3156000,"0","0","-","0","0","0"
1,"BqI0g4",1,10,1988,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",3254393,"0","0","-","0","0","0"
1,"BqI0g4",1,11,1989,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",3272290,"0","0","-","0","0","0"
1,"BqI0g4",1,12,1990,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",3253000,"0","0","-","0","0","0"
1,"BqI0g4",1,13,1991,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",3098000,"0","0","-","0","0","0"
1,"BqI0g4",1,14,1992,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",1627000,"0","0","-","0","0","0"
1,"BqI0g4",1,15,1993,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",1476876,"0","0","-","0","0","0"
1,"BqI0g4",1,16,1994,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",1053000,"0","0","-","0","0","0"
1,"BqI0g4",1,17,1995,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",1200000,"0","0","-","0","0","0"
1,"BqI0g4",1,18,1996,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",1200000,"0","0","-","0","0","0"
1,"BqI0g4",1,19,1997,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",1200000,"0","0","-","0","0","0"
1,"BqI0g4",1,20,1998,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",1200000,"0","0","-","0","0","0"
1,"BqI0g4",1,21,1999,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",1200000,"0","0","-","0","0","0"
1,"BqI0g4",1,22,2000,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",2000000,"0","0","-","0","0","0"
1,"BqI0g4",1,23,2001,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",2197821,"0","0","-","0","0","0"
1,"BqI0g4",1,24,2002,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",1226569,"0","0","-","0","0","0"
1,"BqI0g4",1,25,2003,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",1123647,12759,"0","-","0","0","0"
1,"BqI0g4",1,26,2004,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",1290408,7164,"0","-","0","0","0"
1,"BqI0g4",1,27,2005,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",1084208,2765,"0","-","0","0","0"
1,"BqI0g4",1,28,2006,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",1043984,2091,"0","-","0","0","0"
1,"BqI0g4",1,29,2007,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",2034416,2518,"0","-","0","0","0"
1,"BqI0g4",1,30,2008,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",1780150,2535,"0","-","0","0","0"
1,"BqI0g4",1,31,2009,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",1739935,2189,"0","-","0","0","0"
1,"BqI0g4",1,32,2010,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",1899842,1946,"0","-","0","0","0"
1,"BqI0g4",1,33,2011,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",1701945,1543,"0","-","0","0","0"
1,"BqI0g4",1,34,2012,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",1637740,3220,"0","-","0","0","0"
1,"BqI0g4",1,35,2013,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",1615876,5323,"0","-","0","0","0"
1,"BqI0g4",1,36,2014,2,"Afghanistan","AFG","AFG",147,"Pakistan","PAK","PAK",1504912,5460,"0","-","0","0","0"
