"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"PzKw3Y",1,1,1995,2,"Afghanistan","AFG","AFG",180,"Slovakia","SVK","SVK",119,"0","0","-","0","0","0"
1,"PzKw3Y",1,2,1996,2,"Afghanistan","AFG","AFG",180,"Slovakia","SVK","SVK",191,"0","0","-","0","0","0"
1,"PzKw3Y",1,3,1997,2,"Afghanistan","AFG","AFG",180,"Slovakia","SVK","SVK",129,"0","0","-","0","0","0"
1,"PzKw3Y",1,4,1998,2,"Afghanistan","AFG","AFG",180,"Slovakia","SVK","SVK",157,"0","0","-","0","0","0"
1,"PzKw3Y",1,5,1999,2,"Afghanistan","AFG","AFG",180,"Slovakia","SVK","SVK",180,"0","0","-","0","0","0"
1,"PzKw3Y",1,6,2000,2,"Afghanistan","AFG","AFG",180,"Slovakia","SVK","SVK",187,122,"0","-","0","0","0"
1,"PzKw3Y",1,7,2001,2,"Afghanistan","AFG","AFG",180,"Slovakia","SVK","SVK",193,1598,"0","-","0","0","0"
1,"PzKw3Y",1,8,2002,2,"Afghanistan","AFG","AFG",180,"Slovakia","SVK","SVK",183,552,"0","-","0","0","0"
1,"PzKw3Y",1,9,2003,2,"Afghanistan","AFG","AFG",180,"Slovakia","SVK","SVK",165,469,"0","-","0","0","0"
1,"PzKw3Y",1,10,2004,2,"Afghanistan","AFG","AFG",180,"Slovakia","SVK","SVK",122,354,"0","-","0","0","0"
1,"PzKw3Y",1,11,2005,2,"Afghanistan","AFG","AFG",180,"Slovakia","SVK","SVK",124,344,"0","-","0","0","0"
1,"PzKw3Y",1,12,2006,2,"Afghanistan","AFG","AFG",180,"Slovakia","SVK","SVK",93,330,"0","-","0","0","0"
1,"PzKw3Y",1,13,2007,2,"Afghanistan","AFG","AFG",180,"Slovakia","SVK","SVK",87,7,"0","-","0","0","0"
1,"PzKw3Y",1,14,2008,2,"Afghanistan","AFG","AFG",180,"Slovakia","SVK","SVK",76,"0","0","-","0","0","0"
1,"PzKw3Y",1,15,2009,2,"Afghanistan","AFG","AFG",180,"Slovakia","SVK","SVK",101,"0","0","-","0","0","0"
