"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"CzX04U",1,1,2019,2,"Afghanistan","AFG","AFG",201,"Uruguay","URU","URY","0",5,"0","0","0","0","0","-","0"
1,"CzX04U",1,2,2020,2,"Afghanistan","AFG","AFG",201,"Uruguay","URU","URY","0",7,"0","0","0","0","0","-","0"
1,"CzX04U",1,3,2021,2,"Afghanistan","AFG","AFG",201,"Uruguay","URU","URY",5,6,"0","0","0","0","0","-","0"
1,"CzX04U",1,4,2022,2,"Afghanistan","AFG","AFG",201,"Uruguay","URU","URY",6,"0","0","0","0","0","0","-","0"
1,"CzX04U",1,5,2023,2,"Afghanistan","AFG","AFG",201,"Uruguay","URU","URY",6,"0","0","0","0","0","0","-","0"
1,"CzX04U",1,6,2024,2,"Afghanistan","AFG","AFG",201,"Uruguay","URU","URY",6,"0","0","0","0","0","0","-","0"
1,"CzX04U",1,7,2025,2,"Afghanistan","AFG","AFG",201,"Uruguay","URU","URY",6,"0","0","0","0","0","0","-","0"
1,"CzX04U",1,8,2016,6,"Angola","ANG","AGO",201,"Uruguay","URU","URY","0",7,"0","0","0","0","0","-","0"
1,"CzX04U",1,9,2017,6,"Angola","ANG","AGO",201,"Uruguay","URU","URY","0",20,"0","0","0","0","0","-","0"
1,"CzX04U",1,10,2018,6,"Angola","ANG","AGO",201,"Uruguay","URU","URY",9,6,"0","0","0","0","0","-","0"
1,"CzX04U",1,11,2019,6,"Angola","ANG","AGO",201,"Uruguay","URU","URY",14,5,"0","0","0","0","0","-","0"
1,"CzX04U",1,12,2020,6,"Angola","ANG","AGO",201,"Uruguay","URU","URY",14,"0","0","0","0","0","0","-","0"
1,"CzX04U",1,13,2021,6,"Angola","ANG","AGO",201,"Uruguay","URU","URY",14,"0","0","0","0","0","0","-","0"
1,"CzX04U",1,14,2022,6,"Angola","ANG","AGO",201,"Uruguay","URU","URY",14,"0","0","0","0","0","0","-","0"
1,"CzX04U",1,15,2023,6,"Angola","ANG","AGO",201,"Uruguay","URU","URY",14,"0","0","0","0","0","0","-","0"
1,"CzX04U",1,16,2024,6,"Angola","ANG","AGO",201,"Uruguay","URU","URY",14,"0","0","0","0","0","0","-","0"
1,"CzX04U",1,17,2025,6,"Angola","ANG","AGO",201,"Uruguay","URU","URY",14,"0","0","0","0","0","0","-","0"
1,"CzX04U",1,18,2018,8,"Egypt","ARE","EGY",201,"Uruguay","URU","URY","0",5,"0","0","0","0","0","-","0"
1,"CzX04U",1,19,2019,8,"Egypt","ARE","EGY",201,"Uruguay","URU","URY","0",5,"0","0","0","0","0","-","0"
1,"CzX04U",1,20,2020,8,"Egypt","ARE","EGY",201,"Uruguay","URU","URY","0",5,"0","0","0","0","0","-","0"
1,"CzX04U",1,21,2021,8,"Egypt","ARE","EGY",201,"Uruguay","URU","URY","0",5,"0","0","0","0","0","-","0"
1,"CzX04U",1,22,2022,8,"Egypt","ARE","EGY",201,"Uruguay","URU","URY","0",7,"0","0","0","0","0","-","0"
1,"CzX04U",1,23,2023,8,"Egypt","ARE","EGY",201,"Uruguay","URU","URY","0",9,"0","0","0","0","0","-","0"
1,"CzX04U",1,24,2024,8,"Egypt","ARE","EGY",201,"Uruguay","URU","URY","0",11,"0","0","0","0","0","-","0"
1,"CzX04U",1,25,2025,8,"Egypt","ARE","EGY",201,"Uruguay","URU","URY","0",5,"0","0","0","0","0","-","0"
1,"CzX04U",1,26,2008,9,"Argentina","ARG","ARG",201,"Uruguay","URU","URY","0",5,"0","0","0","0","0","-","0"
1,"CzX04U",1,27,2010,9,"Argentina","ARG","ARG",201,"Uruguay","URU","URY","0",5,"0","0","0","0","0","-","0"
1,"CzX04U",1,28,2011,9,"Argentina","ARG","ARG",201,"Uruguay","URU","URY","0",5,"0","0","0","0","0","-","0"
1,"CzX04U",1,29,2012,9,"Argentina","ARG","ARG",201,"Uruguay","URU","URY","0",5,"0","0","0","0","0","-","0"
1,"CzX04U",1,30,2018,9,"Argentina","ARG","ARG",201,"Uruguay","URU","URY","0",6,"0","0","0","0","0","-","0"
1,"CzX04U",1,31,2019,9,"Argentina","ARG","ARG",201,"Uruguay","URU","URY","0",5,"0","0","0","0","0","-","0"
1,"CzX04U",1,32,2020,9,"Argentina","ARG","ARG",201,"Uruguay","URU","URY","0",7,"0","0","0","0","0","-","0"
1,"CzX04U",1,33,2021,9,"Argentina","ARG","ARG",201,"Uruguay","URU","URY","0",11,"0","0","0","0","0","-","0"
1,"CzX04U",1,34,2022,9,"Argentina","ARG","ARG",201,"Uruguay","URU","URY","0",11,"0","0","0","0","0","-","0"
1,"CzX04U",1,35,2023,9,"Argentina","ARG","ARG",201,"Uruguay","URU","URY","0",29,"0","0","0","0","0","-","0"
1,"CzX04U",1,36,2024,9,"Argentina","ARG","ARG",201,"Uruguay","URU","URY","0",38,"0","0","0","0","0","-","0"
1,"CzX04U",1,37,2025,9,"Argentina","ARG","ARG",201,"Uruguay","URU","URY","0",17,"0","0","0","0","0","-","0"
1,"CzX04U",1,38,2019,20,"Bangladesh","BGD","BGD",201,"Uruguay","URU","URY","0",66,"0","0","0","0","0","-","0"
1,"CzX04U",1,39,2020,20,"Bangladesh","BGD","BGD",201,"Uruguay","URU","URY","0",128,"0","0","0","0","0","-","0"
1,"CzX04U",1,40,2021,20,"Bangladesh","BGD","BGD",201,"Uruguay","URU","URY","0",149,"0","0","0","0","0","-","0"
1,"CzX04U",1,41,2022,20,"Bangladesh","BGD","BGD",201,"Uruguay","URU","URY","0",139,"0","0","0","0","0","-","0"
1,"CzX04U",1,42,2023,20,"Bangladesh","BGD","BGD",201,"Uruguay","URU","URY","0",37,"0","0","0","0","0","-","0"
1,"CzX04U",1,43,2024,20,"Bangladesh","BGD","BGD",201,"Uruguay","URU","URY","0",49,"0","0","0","0","0","-","0"
1,"CzX04U",1,44,2025,20,"Bangladesh","BGD","BGD",201,"Uruguay","URU","URY","0",13,"0","0","0","0","0","-","0"
1,"CzX04U",1,45,1998,24,"Belarus","BLR","BLR",201,"Uruguay","URU","URY",5,"0","0","0","0","0","0","-","0"
1,"CzX04U",1,46,2015,25,"Bolivia (Plurinational State of)","BOL","BOL",201,"Uruguay","URU","URY",5,"0","0","0","0","0","0","-","0"
1,"CzX04U",1,47,2016,25,"Bolivia (Plurinational State of)","BOL","BOL",201,"Uruguay","URU","URY",5,"0","0","0","0","0","0","-","0"
1,"CzX04U",1,48,2017,25,"Bolivia (Plurinational State of)","BOL","BOL",201,"Uruguay","URU","URY",5,"0","0","0","0","0","0","-","0"
1,"CzX04U",1,49,2018,25,"Bolivia (Plurinational State of)","BOL","BOL",201,"Uruguay","URU","URY",5,"0","0","0","0","0","0","-","0"
1,"CzX04U",1,50,2019,25,"Bolivia (Plurinational State of)","BOL","BOL",201,"Uruguay","URU","URY",5,"0","0","0","0","0","0","-","0"
1,"CzX04U",1,51,2020,25,"Bolivia (Plurinational State of)","BOL","BOL",201,"Uruguay","URU","URY",5,5,"0","0","0","0","0","-","0"
1,"CzX04U",1,52,2021,25,"Bolivia (Plurinational State of)","BOL","BOL",201,"Uruguay","URU","URY",5,6,"0","0","0","0","0","-","0"
1,"CzX04U",1,53,2022,25,"Bolivia (Plurinational State of)","BOL","BOL",201,"Uruguay","URU","URY",6,7,"0","0","0","0","0","-","0"
1,"CzX04U",1,54,2023,25,"Bolivia (Plurinational State of)","BOL","BOL",201,"Uruguay","URU","URY",6,14,"0","0","0","0","0","-","0"
1,"CzX04U",1,55,2024,25,"Bolivia (Plurinational State of)","BOL","BOL",201,"Uruguay","URU","URY",6,16,"0","0","0","0","0","-","0"
1,"CzX04U",1,56,2025,25,"Bolivia (Plurinational State of)","BOL","BOL",201,"Uruguay","URU","URY",6,13,"0","0","0","0","0","-","0"
1,"CzX04U",1,57,2012,27,"Brazil","BRA","BRA",201,"Uruguay","URU","URY","0",5,"0","0","0","0","0","-","0"
1,"CzX04U",1,58,2013,27,"Brazil","BRA","BRA",201,"Uruguay","URU","URY","0",5,"0","0","0","0","0","-","0"
1,"CzX04U",1,59,2017,27,"Brazil","BRA","BRA",201,"Uruguay","URU","URY","0",7,"0","0","0","0","0","-","0"
1,"CzX04U",1,60,2018,27,"Brazil","BRA","BRA",201,"Uruguay","URU","URY","0",8,"0","0","0","0","0","-","0"
1,"CzX04U",1,61,2019,27,"Brazil","BRA","BRA",201,"Uruguay","URU","URY","0",14,"0","0","0","0","0","-","0"
1,"CzX04U",1,62,2020,27,"Brazil","BRA","BRA",201,"Uruguay","URU","URY","0",15,"0","0","0","0","0","-","0"
1,"CzX04U",1,63,2021,27,"Brazil","BRA","BRA",201,"Uruguay","URU","URY","0",23,"0","0","0","0","0","-","0"
1,"CzX04U",1,64,2022,27,"Brazil","BRA","BRA",201,"Uruguay","URU","URY","0",27,"0","0","0","0","0","-","0"
1,"CzX04U",1,65,2023,27,"Brazil","BRA","BRA",201,"Uruguay","URU","URY","0",33,"0","0","0","0","0","-","0"
1,"CzX04U",1,66,2024,27,"Brazil","BRA","BRA",201,"Uruguay","URU","URY",6,56,"0","0","0","0","0","-","0"
1,"CzX04U",1,67,2025,27,"Brazil","BRA","BRA",201,"Uruguay","URU","URY",6,16,"0","0","0","0","0","-","0"
1,"CzX04U",1,68,2019,33,"Canada","CAN","CAN",201,"Uruguay","URU","URY","0",5,"0","0","0","0","0","-","0"
1,"CzX04U",1,69,2010,37,"China","CHI","CHN",201,"Uruguay","URU","URY","0",6,"0","0","0","0","0","-","0"
1,"CzX04U",1,70,2011,37,"China","CHI","CHN",201,"Uruguay","URU","URY","0",7,"0","0","0","0","0","-","0"
1,"CzX04U",1,71,1993,38,"Chile","CHL","CHL",201,"Uruguay","URU","URY",30,"0",25,"0","0","0","0","-","0"
1,"CzX04U",1,72,1994,38,"Chile","CHL","CHL",201,"Uruguay","URU","URY",5,"0",10,"0","0","0","0","-","0"
1,"CzX04U",1,73,2002,38,"Chile","CHL","CHL",201,"Uruguay","URU","URY",6,"0","0","0","0","0","0","-","0"
1,"CzX04U",1,74,2020,38,"Chile","CHL","CHL",201,"Uruguay","URU","URY","0",5,"0","0","0","0","0","-","0"
1,"CzX04U",1,75,2021,38,"Chile","CHL","CHL",201,"Uruguay","URU","URY","0",5,"0","0","0","0","0","-","0"
1,"CzX04U",1,76,2022,38,"Chile","CHL","CHL",201,"Uruguay","URU","URY","0",7,"0","0","0","0","0","-","0"
